length	CIP.decap	decap	5OH	5P
24	4	0	0	0
25	15	5	1	6
26	35	25	1	11
27	86	67	6	24
28	168	116	10	40
29	313	239	12	72
30	464	335	31	128
31	609	480	30	174
32	821	578	43	204
33	1093	824	38	282
34	1591	1032	67	407
35	2382	1541	97	671
36	4006	2445	174	1184
37	6569	3842	272	2124
38	10579	5779	415	3421
39	16508	8835	672	5432
40	24258	12787	914	8241
41	33471	17682	1204	12029
42	44153	23019	1615	15867
43	53645	28067	1838	19419
44	60441	32246	1960	22171
45	62318	33215	1957	22899
46	58445	31026	1821	20803
47	50596	27466	1428	17854
48	41189	22270	1202	13591
49	32293	17851	912	10240
50	24714	13813	694	7713
51	18970	10865	556	5555
52	13986	8188	360	4044
53	10090	6086	290	2743
54	7249	4360	205	1969
55	4934	3047	137	1332
56	3150	1956	102	904
57	1891	1231	41	564
58	996	724	28	295
59	494	389	8	136
60	209	214	3	54
61	89	99	1	14
62	93	90	0	10
63	73	86	0	10
64	57	71	1	11
65	60	57	0	10
66	51	65	0	9
67	42	47	0	8
68	30	18	0	6
69	22	27	0	3
70	13	19	0	2
71	12	14	0	2
72	11	10	0	2
73	2	3	0	0
74	1	2	0	0
